"id","grade","ref","tau","lvBeta","lvA","lvEes","laEmax","laEmin","laV0","vStressed","svr","cSys","pvr","hr","LAP","CO","SV","MAP","coMax","winLo","winHi","window","toWet","lap500","lap1000","co500","co1000","lapDiur","coDiur","aftLAP","aftSVpct","aftMAP","surgeLAP","surgeMAP","af70CO","af70LAP","af110CO","af110LAP","af130CO","af130LAP"
"g3-039",3,0,0.069546,0.059548,0.27008,3.0003,1.1933,0.36378,53.819,1009.6,1.1338,0.81836,0.10268,69.042,21.729,3.4785,50.381,76.122,3.4785,-1500,-500,1000,0,3.5674,7.0568,-0.0045528,-0.02396,-7.8973,-0.11224,1.3623,-11.061,20.867,5.6309,25.77,-10.445,-0.63113,3.5024,-1.2755,-5.3544,0.75654
"g3-040",3,0,0.083436,0.054612,0.3187,3.7964,0.87867,0.38222,61.468,1108.8,1.3625,0.74022,0.10787,70.551,22.75,3.6671,51.981,95.536,3.6674,-1560,-690,870,0,3.3561,6.6859,-0.0042219,-0.020601,-7.149,-0.09402,1.409,-10.683,27.119,5.4247,32.516,-12.387,-0.61589,-10.371,1.6709,-21.899,5.4707
"g4-ref",4,1,0.07,0.065,0.34,3.2,0.7,0.5,80,1110,1.3,0.8,0.14,78,29.465,3.3954,43.529,84.16,3.3971,-1570,-1190,380,0,4.0733,7.9395,-0.0048127,-0.023008,-9.457,-0.10129,1.5931,-12.728,21.574,6.392,26.288,-14.472,-1.1848,1.303,-3.631,-7.6395,-2.6897
"g4-001",4,0,0.057007,0.063236,0.34864,3.4512,0.60398,0.40208,73.772,1149.3,1.2976,0.8295,0.17898,83.107,28.24,3.7467,45.082,92.544,3.7467,-1650,-1140,510,0,3.9098,7.6911,-0.0065306,-0.025818,-8.8436,-0.087596,1.6915,-12.368,24.2,6.2994,29.149,-19.593,-0.55227,2.1783,-3.0117,-4.0692,-2.5331
"g4-002",4,0,0.054439,0.070258,0.31809,3.3915,0.86852,0.44267,83.931,1070.1,1.4898,0.79667,0.15831,74.697,28.751,3.1018,41.524,86.745,3.1046,-1590,-1100,490,0,4.2348,8.2647,0.0025178,-0.0080415,-9.6469,-0.092054,1.5635,-13.21,22.108,6.5789,27.116,-12.989,-0.98806,12.565,-3.9727,6.495,-4.301
"g4-003",4,0,0.077656,0.053798,0.39915,2.6599,0.70348,0.47783,82.07,1074.1,1.2288,1.0254,0.18484,76.457,25.014,3.4925,45.678,82.388,3.4949,-1390,-830,560,0,3.8332,7.5182,0.0023791,-0.013872,-8.6474,-0.14438,1.6484,-12.825,20.713,6.2117,25.735,-13.798,-0.86397,-5.9441,-1.8906,-15.555,0.0317
"g4-004",4,0,0.077693,0.068835,0.29425,3.396,0.70285,0.45629,79.1,1199.3,1.5966,0.71699,0.10022,92.09,33.581,3.6312,39.44,107.73,3.654,NA,NA,0,0,4.3827,8.5124,0.020185,0.022492,-10.099,-0.18874,1.5697,-15.173,25.051,6.7097,30.63,-23.628,-0.43224,-13.407,-2.9293,-22.516,-1.509
"g4-005",4,0,0.050108,0.057318,0.31065,3.3534,0.76009,0.44531,115.59,1117.1,1.2468,0.81788,0.17088,78.059,23.942,3.7044,47.455,90.051,3.7044,-1770,-780,990,0,3.6981,7.328,-0.0086015,-0.030512,-7.8087,-0.061174,1.5008,-11.195,24.349,5.8004,29.566,-16.391,-0.27421,8.03,-2.0129,3.4281,-1.1159
"g4-006",4,0,0.061303,0.07176,0.34957,2.9657,0.66858,0.66152,84.007,1076.5,1.3447,0.9444,0.13437,81.933,31.555,3.1346,38.261,79.3,3.1368,-1510,-1230,280,0,4.3992,8.4477,-0.0016312,-0.018724,-10.753,-0.11814,1.4847,-14.197,19.044,6.6585,23.438,-15.144,-1.1983,8.0659,-4.6337,1.2936,-5.4199
"g4-007",4,0,0.074309,0.059425,0.30921,2.9791,0.50758,0.49481,87.049,1105.9,1.2817,0.77597,0.15419,83.217,27.272,3.6362,43.694,89.062,3.6362,-1490,-1040,450,0,3.916,7.664,-0.00542,-0.0255,-8.9458,-0.1212,1.6225,-13.197,22.255,6.1786,27.03,-17.016,-0.83165,-6.1414,-2.3015,-15.116,-0.44712
"g4-008",4,0,0.072531,0.064443,0.36992,2.539,0.73298,0.5242,68.637,1277.1,1.1577,0.64957,0.095369,75.401,36.647,3.196,42.381,73.698,3.2008,-2000,-1810,190,0,4.0477,7.9027,-0.021035,-0.052408,-9.271,-0.022386,1.794,-13.291,17.406,6.557,21.44,-12.816,-2.1777,9.6826,-5.2767,2.4149,-5.8807
"g4-009",4,0,0.066912,0.063256,0.30599,2.768,0.70212,0.47793,79.423,1073.8,1.4822,0.75386,0.12189,77.73,29.487,3.1922,41.067,88.501,3.1954,-1530,-1140,390,0,4.2392,8.2393,0.00017603,-0.013453,-9.9156,-0.10947,1.6259,-14.766,20.791,6.6255,25.618,-13.881,-1.0238,3.8825,-3.8554,-4.1782,-3.4772
"g4-010",4,0,0.067198,0.060151,0.39771,3.7411,0.6366,0.49641,76.488,1077.4,1.005,0.85112,0.15164,85.808,26.23,4.1969,48.909,81.603,4.2008,-1320,-930,390,0,3.8637,7.5422,0.00097307,-0.019672,-9.0131,-0.19037,1.374,-10.188,23.266,5.9479,28.274,-20.934,-0.64267,-6.6894,-2.132,-15.035,-0.34724
"g4-011",4,0,0.063979,0.068169,0.32929,3.1842,0.69689,0.43826,99.584,1123.3,1.2372,0.77882,0.089929,76.388,30.044,3.2867,43.029,78.928,3.2867,-1730,-1270,460,0,4.0852,7.9955,-0.0081992,-0.028035,-9.1662,-0.061958,1.3279,-12.46,20.185,6.078,24.782,-14.264,-1.1698,7.2204,-3.6908,-0.50566,-3.4539
"g4-012",4,0,0.062152,0.068684,0.32073,2.8223,1.03,0.58245,109.62,1142.2,1.5882,0.76037,0.069207,63.008,32.562,2.4952,39.604,76.649,2.4952,-1910,-1480,430,0,4.2004,8.198,-0.0065473,-0.02246,-9.3713,-0.035447,1.4148,-13.978,18.176,6.3324,22.611,0.50764,-2.2035,27.804,-4.9091,20.605,-5.3896
"g4-013",4,0,0.064358,0.076391,0.35401,3.5198,0.80838,0.51983,85.636,1232.1,1.3887,0.66794,0.16471,82.442,35.024,3.2105,38.942,85.839,3.2105,-1830,-1650,180,0,4.1876,8.1701,-0.009649,-0.028305,-9.5827,-0.056877,1.7958,-13.056,21.431,6.7265,25.978,-19.111,-1.3911,3.1335,-4.5062,-3.518,-4.9491
"g4-014",4,0,0.086627,0.062935,0.30627,3.5571,0.59455,0.39948,78.872,1242.5,1.1291,0.67622,0.14044,89.361,30.26,4.1097,45.992,91.079,4.1249,NA,NA,0,0,3.8268,7.5223,0.015201,0.0045419,-8.3516,-0.19588,1.5846,-11.467,24.201,6.099,29.38,-23.484,-0.80506,-19.136,-1.0328,-30.115,1.3503
"g4-015",4,0,0.081397,0.058086,0.33919,2.944,0.68026,0.47574,73.25,1000.6,1.0293,0.67851,0.13319,65.173,24.956,3.1998,49.091,64.901,3.1998,-1500,-800,700,0,3.8552,7.55,-0.012891,-0.039964,-8.9263,-0.10482,1.4049,-10.273,18.033,5.9373,22.429,-2.0984,-1.8039,5.6965,-2.9304,-6.9324,-1.1312
"g4-016",4,0,0.062928,0.06163,0.34754,3.4776,0.8393,0.45239,77.291,1118.9,1.2504,0.75907,0.13737,83.037,28.381,3.9254,47.278,93.025,3.9289,-1540,-1120,420,0,4.0328,7.8961,0.00006551,-0.014349,-9.1962,-0.12615,1.6439,-12.091,24.796,6.4417,30.002,-20.458,-0.56362,-2.558,-2.75,-9.9598,-1.6654
"g4-017",4,0,0.086374,0.064568,0.30202,3.4234,0.63987,0.48051,69.037,1038.3,1.138,0.69595,0.18109,74.218,26.047,3.424,46.138,75.265,3.4283,-1320,-880,440,0,3.9502,7.696,0.00017262,-0.01917,-9.2698,-0.16048,1.5276,-10.815,20.907,6.1994,25.649,-11.483,-1.397,-8.2612,-2.1712,-20.462,0.06211
"g4-018",4,0,0.081788,0.064339,0.36337,2.8473,0.84985,0.56785,83.415,1296.1,1.1217,0.61449,0.13303,88.916,35.157,3.7612,42.3,83.732,3.7633,NA,NA,0,0,4.0928,7.99,-0.0010276,-0.022006,-9.272,-0.105,1.96,-12.997,20.214,6.7682,24.846,-23.56,-1.3064,-10.884,-3.7701,-19.479,-3.0449
"g4-019",4,0,0.077889,0.067992,0.30621,2.5566,0.64966,0.54969,83.359,1023.3,1.4469,0.72176,0.14898,72.702,29.412,2.7121,37.306,74.13,2.7143,-1440,-1090,350,0,4.336,8.3707,-0.00034998,-0.016043,-10.399,-0.10944,1.5769,-14.73,17.236,6.6659,21.617,-7.8727,-1.5641,5.1903,-4.779,-4.8688,-4.3829
"g4-020",4,0,0.060707,0.052417,0.30127,2.8479,0.67363,0.54237,75.717,1276.9,1.2811,0.78097,0.12845,76.461,29.988,3.8733,50.651,96.744,3.8799,-2000,-1440,560,0,3.669,7.2597,-0.023298,-0.055051,-7.9467,-0.014482,2.0069,-12.666,24.216,6.3055,28.759,-13.161,-1.491,8.7315,-2.9358,2.6639,-1.726
"g4-021",4,0,0.077239,0.056711,0.31574,2.7986,0.76725,0.56485,102.57,1098.1,1.619,0.93486,0.097633,82.996,28.075,3.4553,41.629,103.86,3.4683,-1320,-1080,240,0,4.1069,8.0169,0.011076,0.0091379,-9.3264,-0.15954,1.4792,-15.625,23.448,6.3316,28.98,-17.042,-0.60235,-9.5869,-1.9326,-18.395,0.20675
"g4-022",4,0,0.063515,0.065923,0.37317,2.7692,0.6915,0.46556,90.61,1078.6,1.2403,0.8073,0.12652,81.874,29.533,3.3029,40.341,78.327,3.3034,-1530,-1160,370,0,4.2214,8.2117,-0.0014409,-0.017653,-9.7925,-0.1121,1.5055,-13.745,18.948,6.4552,23.61,-18.038,-0.81058,2.9619,-3.6494,-3.9209,-3.8489
"g4-023",4,0,0.06028,0.063771,0.40181,3.0099,0.63225,0.49637,69.712,1165.2,1.074,0.75913,0.16111,67.179,30.393,3.0404,45.257,65.876,3.0475,-1900,-1370,530,0,3.8014,7.4669,-0.023905,-0.056916,-8.5919,-0.022442,1.6083,-10.729,17.423,6.0765,21.477,-3.1384,-2.1767,25.634,-4.6793,18.994,-4.8692
"g4-024",4,0,0.063138,0.05869,0.26583,3.365,0.73753,0.478,83.406,1117.2,1.4787,1.0284,0.12693,76.898,26.318,3.7232,48.421,102.94,3.7255,-1590,-960,630,0,3.8816,7.6303,-0.0029031,-0.015013,-8.7359,-0.10086,1.5206,-13.087,26.468,6.1145,31.757,-13.757,-0.80364,1.5756,-2.4123,-6.5536,-0.52268
"g4-025",4,0,0.05589,0.065577,0.39292,2.94,0.70398,0.5379,85.312,1064.1,1.4341,0.66881,0.1573,75.033,29.953,2.9395,39.172,79.743,2.9395,-1590,-1190,400,0,4.1713,8.1192,-0.0069354,-0.022488,-9.8052,-0.085857,1.6673,-13.771,19.528,6.5922,24.104,-10.932,-1.3249,15.889,-4.3738,10.526,-5.0191
"g4-026",4,0,0.074912,0.060678,0.36285,3.3816,0.58667,0.50568,81.62,1082.7,1.3883,0.78883,0.1512,77.44,27.606,3.418,44.136,89.621,3.4197,-1500,-1050,450,0,3.9465,7.7114,-0.0033761,-0.019943,-9.1826,-0.12159,1.5462,-12.649,23.352,6.194,28.295,-12.924,-1.1716,-3.1658,-2.719,-13.051,-0.65325
"g4-027",4,0,0.06751,0.05828,0.30757,3.0365,0.69117,0.43047,79.43,1088.8,1.4765,0.80408,0.13302,77.695,27.142,3.521,45.321,97.297,3.5256,-1530,-1010,520,0,4.0085,7.8558,0.002833,-0.0097578,-9.0855,-0.11249,1.6445,-13.822,24.097,6.3855,29.324,-14.807,-0.74232,-0.74737,-2.6572,-9.1666,-1.0825
"g4-028",4,0,0.074049,0.065653,0.30796,3.6216,0.53887,0.49187,99.571,1037.4,1.182,0.83083,0.097856,77.237,26.527,3.4897,45.18,79.241,3.4897,-1500,-940,560,0,3.9589,7.7338,-0.0066216,-0.029018,-9.1493,-0.11614,1.1337,-11.277,21.719,5.7154,26.422,-12.523,-1.0787,-1.7521,-2.557,-12.306,-0.62309
"g4-029",4,0,0.062799,0.057051,0.31105,3.1303,0.64403,0.51954,81.665,1075.9,1.4925,0.7389,0.11064,85.04,27.882,3.8214,44.94,105.41,3.8267,-1450,-1040,410,0,4.0867,7.9581,0.0017499,-0.0092048,-9.5429,-0.1503,1.6307,-14.328,25.79,6.4521,31.143,-18.735,-0.50045,-2.2294,-2.6882,-9.5437,-1.3973
"g4-030",4,0,0.074119,0.067938,0.33094,3.2963,0.75175,0.49557,78.861,1176.2,1.482,0.86245,0.21333,80.722,30.403,3.2892,40.749,92.473,3.2935,-1570,-1300,270,0,4.0641,7.9412,0.0015299,-0.010807,-9.2867,-0.10049,1.8796,-13.547,22.812,6.707,27.761,-16.94,-1.0005,-4.9248,-3.36,-13.923,-2.0462
"g4-031",4,0,0.070697,0.071011,0.313,2.5412,0.70167,0.47007,70.559,1091,1.4814,0.73419,0.11517,69.795,32.575,2.6065,37.342,73.184,2.6065,-1620,-1340,280,0,4.3716,8.4677,-0.0047685,-0.021102,-10.38,-0.073416,1.5314,-14.917,16.753,6.6806,20.977,-6.4376,-1.8026,14.496,-5.3526,5.8706,-6.048
"g4-032",4,0,0.066173,0.080323,0.35873,2.8378,0.64171,0.45051,78.48,1036,1.1984,0.80615,0.123,77.881,31.442,2.8192,36.202,64.678,2.8223,-1440,-1200,240,0,4.5433,8.7315,0.00065057,-0.015859,-10.951,-0.11798,1.2641,-13.477,15.864,6.5571,20.046,-14.088,-1.1681,9.0988,-4.8617,1.9602,-5.9948
"g4-033",4,0,0.072818,0.07317,0.32378,2.7418,0.75982,0.41768,64.645,1004.7,1.6796,0.76409,0.1335,75.935,30.382,2.6773,35.257,82.418,2.6946,-1250,-1080,170,0,4.8006,9.2251,0.016333,0.014728,-11.405,-0.15051,1.3932,-16.126,18.34,7.039,23.253,-12.861,-0.82307,2.0574,-4.6544,-7.2331,-4.8681
"g4-034",4,0,0.057454,0.057096,0.37174,2.904,0.65695,0.58255,88.673,1049.3,1.3812,0.7472,0.17638,77.087,26.464,3.3239,43.122,86.845,3.3247,-1500,-940,560,0,3.9371,7.704,-0.0038405,-0.022828,-9.0875,-0.1002,1.7674,-13.31,21.798,6.4169,26.65,-12.149,-1.1046,9.8718,-3.4957,3.462,-2.9819
"g4-035",4,0,0.081286,0.062012,0.30558,3.0654,0.62244,0.49693,94.443,1205.8,1.3128,0.84558,0.15383,79.084,29.492,3.4607,43.756,88.472,3.4607,-1670,-1310,360,0,3.8341,7.5444,-0.0092681,-0.029391,-8.4845,-0.07142,1.6662,-12.842,22.014,6.1465,26.706,-15.317,-1.2158,-7.4084,-2.2747,-17.562,-0.21945
"g4-036",4,0,0.073386,0.06082,0.27981,3.6748,0.7217,0.34555,88.703,1181,1.6406,0.61966,0.13705,87.957,28.722,3.9247,44.621,119.87,3.9444,-1380,-1240,140,0,3.9949,7.8647,0.01619,0.015885,-8.6234,-0.16032,1.6826,-13.952,29.899,6.4074,36.038,-24.29,-0.034376,-16.592,-0.90005,-25.068,1.8975
"g4-037",4,0,0.072297,0.061811,0.35354,2.7245,0.71077,0.4973,73.944,1075.6,1.3165,0.79485,0.16088,80.948,28.782,3.3696,41.626,83.859,3.3764,-1390,-1090,300,0,4.2066,8.167,0.0041555,-0.007641,-9.8874,-0.14726,1.7323,-14.038,20.204,6.7223,25.054,-16.545,-0.87106,-2.4899,-3.5368,-11.112,-2.7747
"g4-038",4,0,0.057003,0.073657,0.31517,3.0465,0.665,0.52238,70.495,1179.8,1.3694,0.7826,0.11368,79.907,34.856,3.1545,39.477,82.102,3.1545,-1790,-1550,240,0,4.2449,8.2297,-0.011949,-0.033976,-10.101,-0.060967,1.6142,-13.988,19.748,6.6042,23.98,-15.203,-1.5632,12.835,-4.7513,8.8921,-5.9814
"g4-039",4,0,0.061238,0.055025,0.32154,2.8438,0.6252,0.41185,86.766,1080.7,1.5345,0.72612,0.16899,71.746,25.546,3.194,44.521,92.776,3.1948,-1660,-910,750,0,3.849,7.5836,-0.0039731,-0.019339,-8.4479,-0.071587,1.736,-13.668,22.897,6.2539,27.971,-9.1904,-0.95799,9.355,-2.84,2.055,-1.6597
"g4-040",4,0,0.083278,0.057028,0.34884,2.5789,0.71394,0.51236,86.531,1097.9,1.3232,0.83667,0.10851,81.476,28.693,3.4882,42.815,87.635,3.4976,-1320,-1120,200,0,4.1277,8.0365,0.009392,0.00063915,-9.4826,-0.16261,1.5783,-14.465,20.572,6.4419,25.612,-16.764,-0.89454,-9.6542,-2.5297,-19.598,-0.91688
