"id","grade","ref","tau","lvBeta","lvA","lvEes","laEmax","laEmin","laV0","vStressed","svr","cSys","pvr","hr","LAP","CO","SV","MAP","coMax","winLo","winHi","window","toWet","lap500","lap1000","co500","co1000","lapDiur","coDiur","aftLAP","aftSVpct","aftMAP","surgeLAP","surgeMAP","af70CO","af70LAP","af110CO","af110LAP","af130CO","af130LAP"
"g2-036",2,0,0.079061,0.047671,0.2379,2.8991,2.4161,0.3322,66.773,923.29,1.3579,0.88282,0.048647,60.114,17.796,3.5502,59.054,89.809,3.5675,-1240,20,1260,20,3.5056,6.9777,0.015931,0.015145,-7.3826,-0.18068,1.0157,-11.523,25.154,5.1941,31.277,-3.1175,-0.35004,-2.9152,1.4141,-15.155,4.8864
"g2-037",2,0,0.073286,0.042076,0.2673,2.6243,1.8452,0.39504,52.259,927.17,0.97653,0.83216,0.046896,65.292,17.147,4.2551,65.165,79.548,4.2588,-1240,130,1370,130,3.2614,6.504,0.00081729,-0.016565,-7.0201,-0.21782,1.088,-9.9892,23.141,4.982,28.593,-6.6099,-0.31307,-0.77784,1.2896,-12.517,4.4275
"g2-038",2,0,0.065085,0.037465,0.25704,2.8185,1.8597,0.33501,46.593,860.06,1.1755,0.70188,0.054372,67.518,14.335,4.5347,67.167,98.602,4.5569,-1070,580,1650,580,3.1481,6.3183,0.020497,0.017058,-6.4526,-0.34449,1.0639,-10.532,29.209,4.8654,36.096,-9.0144,0.26845,-3.1224,2.1874,-13.264,5.8612
"g2-039",2,0,0.074295,0.045384,0.28036,2.9776,1.9267,0.3377,68.917,892.89,1.2224,1.0701,0.054209,73.746,16.478,4.3308,58.732,97.469,4.3807,-940,220,1160,220,3.3973,6.7567,0.039305,0.049927,-7.0173,-0.42597,0.81803,-11.851,27.16,4.9783,34.302,-16.043,0.5165,-14.378,2.2706,-24.89,5.6967
"g2-040",2,0,0.069873,0.037221,0.30386,2.6925,2.2676,0.26016,63.958,924.09,1.2027,0.88213,0.061944,67.549,14.797,4.3833,64.881,98.536,4.4151,-1140,500,1640,500,3.1731,6.3909,0.026183,0.030933,-6.2148,-0.26979,0.97112,-10.757,28.527,4.7805,35.679,-12.216,0.7399,-8.2652,2.8828,-18.783,6.4602
"g3-ref",3,1,0.068,0.055,0.3,3.2,1.08,0.4,75,1000,1.3,0.8,0.09,70,21.093,3.5153,50.215,86.793,3.5167,-1490,-430,1060,0,3.5401,7.0081,0.00050323,-0.014469,-7.6938,-0.11646,1.2985,-11.538,23.77,5.5132,29.167,-10.686,-0.53789,1.5263,-0.68632,-7.1952,1.8789
"g3-001",3,0,0.069629,0.054408,0.28607,2.8822,0.82644,0.37609,68.8,1021.8,1.4843,0.87823,0.09996,67.26,21.612,3.2007,47.586,89.566,3.2026,-1500,-490,1010,0,3.5487,7.0232,-0.0019346,-0.014823,-7.7256,-0.095142,1.392,-13.035,22.911,5.6099,28.151,-6.9672,-0.78358,4.4046,-1.0649,-4.2373,1.3841
"g3-002",3,0,0.071938,0.054987,0.26948,3.3546,1.2437,0.60217,50.96,1065.3,1.1353,0.6946,0.1253,63.767,21.736,3.4293,53.776,76.691,3.4325,-1670,-550,1120,0,3.2275,6.4132,-0.021825,-0.054748,-7.1345,-0.054571,1.5257,-9.504,22.113,5.3696,26.706,-1.6608,-1.6063,10.713,-0.8414,1.0208,2.1265
"g3-003",3,0,0.071095,0.053523,0.29661,3.2091,0.91463,0.33441,61.18,1021,1.6071,0.90826,0.11092,64.138,20.571,3.1837,49.635,95.612,3.1859,-1500,-360,1140,0,3.4911,6.9321,0.0022388,-0.0079297,-7.4688,-0.10313,1.3615,-12.548,25.362,5.5302,30.993,-5.007,-0.63245,2.8426,-0.32888,-6.0956,2.7379
"g3-004",3,0,0.07409,0.055497,0.21675,3.4302,0.9458,0.3595,88.628,1099,1.4339,0.77359,0.080239,72.122,22.066,3.73,51.714,101.72,3.7307,-1640,-580,1060,0,3.4886,6.9454,-0.0030094,-0.017072,-7.2613,-0.080425,1.3213,-11.792,27.572,5.4373,33.167,-13.878,-0.33554,-7.3898,0.88761,-16.934,4.4986
