"id","grade","ref","tau","lvBeta","lvA","lvEes","laEmax","laEmin","laV0","vStressed","svr","cSys","pvr","hr","protocol","x","HR","CO","SV","EF","MAP","LAP","EDP","EDV","mPAP","RAP","E","A","EA","DT","ep","Eep","LAVI","TRv","SD","echoGrade","lapHigh"
"g0-006",0,0,0.033512,0.023823,0.2471,2.1821,1.2853,0.16308,12.585,796.13,1.0367,1.3122,0.054994,77.153,"af",90,89.33,5.9373,66.465,0.514,112.35,7.8709,6.1168,135.43,15.569,4.7802,96.298,0,NA,247.93,12.322,7.815,27.742,2.1122,1.2666,NA,0
"g0-006",0,0,0.033512,0.023823,0.2471,2.1821,1.2853,0.16308,12.585,796.13,1.0367,1.3122,0.054994,77.153,"af",110,109.18,6.1557,56.38,0.49007,114.12,8.7021,4.6766,123.05,16.646,4.1361,101.23,0,NA,255.49,12.359,8.1911,28.357,2.136,1.2297,NA,0
"g0-006",0,0,0.033512,0.023823,0.2471,2.1821,1.2853,0.16308,12.585,796.13,1.0367,1.3122,0.054994,77.153,"af",130,129.03,5.9335,45.984,0.46474,113.18,10.952,5.3992,103.47,18.51,4.2164,110.1,0,NA,257.98,12.353,8.9126,31.383,2.1516,1.927,NA,0
"g0-006",0,0,0.033512,0.023823,0.2471,2.1821,1.2853,0.16308,12.585,796.13,1.0367,1.3122,0.054994,77.153,"af",150,148.88,5.3616,36.012,0.43467,108.43,14.311,9.9934,81.203,20.992,4.8585,120.47,0,NA,270.45,12.213,9.8639,36.673,2.1551,0.92271,NA,0
"g0-007",0,0,0.033056,0.023312,0.24297,1.9274,1.2827,0.18671,8.8381,725.54,0.80677,1.443,0.03812,58.611,"volume",0,58.606,5.1076,87.152,0.58466,77.363,6.3653,7.3404,149.06,11.482,4.87,91.36,67.416,1.3552,261.8,12.522,7.2959,25.02,2.0012,1.6543,0,0
"g0-007",0,0,0.033056,0.023312,0.24297,1.9274,1.2827,0.18671,8.8381,725.54,0.80677,1.443,0.03812,58.611,"volume",-2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g0-007",0,0,0.033056,0.023312,0.24297,1.9274,1.2827,0.18671,8.8381,725.54,0.80677,1.443,0.03812,58.611,"volume",-1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g0-007",0,0,0.033056,0.023312,0.24297,1.9274,1.2827,0.18671,8.8381,725.54,0.80677,1.443,0.03812,58.611,"volume",-1000,65.952,4.3293,65.643,0.56886,66.832,2.4751,2.3913,115.41,6.8121,1.2158,61.422,47.589,1.2907,336.48,12.784,4.8046,16.331,1.7826,1.5111,0,0
"g0-007",0,0,0.033056,0.023312,0.24297,1.9274,1.2827,0.18671,8.8381,725.54,0.80677,1.443,0.03812,58.611,"volume",-750,63.288,4.6606,73.641,0.57655,70.85,3.2719,3.5428,127.73,7.9415,1.8233,69.72,53.196,1.3106,320.3,12.725,5.4789,18.702,1.8717,1.4837,0,0
"g0-007",0,0,0.033056,0.023312,0.24297,1.9274,1.2827,0.18671,8.8381,725.54,0.80677,1.443,0.03812,58.611,"volume",-500,61.25,4.8867,79.783,0.58118,73.747,4.2015,4.8155,137.28,9.0977,2.6409,77.641,58.483,1.3276,301.35,12.665,6.1302,20.982,1.9356,1.487,0,0
"g0-007",0,0,0.033056,0.023312,0.24297,1.9274,1.2827,0.18671,8.8381,725.54,0.80677,1.443,0.03812,58.611,"volume",-250,59.772,5.0282,84.123,0.58367,75.82,5.2425,6.0922,144.13,10.28,3.675,84.926,63.263,1.3424,281.03,12.6,6.7403,23.098,1.9766,1.5394,0,0
"g0-007",0,0,0.033056,0.023312,0.24297,1.9274,1.2827,0.18671,8.8381,725.54,0.80677,1.443,0.03812,58.611,"volume",250,57.652,5.1544,89.406,0.58489,78.678,7.5994,8.6215,152.86,12.765,6.158,97.128,71.106,1.366,242.34,12.421,7.8195,26.818,2.0206,1.8518,0,0
"g0-007",0,0,0.033056,0.023312,0.24297,1.9274,1.2827,0.18671,8.8381,725.54,0.80677,1.443,0.03812,58.611,"volume",500,56.81,5.1772,91.131,0.58477,79.81,8.9097,9.9272,155.84,14.097,7.5217,101.98,74.403,1.3707,228.17,12.283,8.3029,28.441,2.0346,2.1457,0,0
"g0-007",0,0,0.033056,0.023312,0.24297,1.9274,1.2827,0.18671,8.8381,725.54,0.80677,1.443,0.03812,58.611,"volume",750,56.073,5.1879,92.521,0.58468,80.867,10.278,11.276,158.25,15.477,8.9504,105.88,77.479,1.3666,218.25,12.114,8.7406,29.868,2.0445,2.5434,0,0
"g0-007",0,0,0.033056,0.023312,0.24297,1.9274,1.2827,0.18671,8.8381,725.54,0.80677,1.443,0.03812,58.611,"volume",1000,55.355,5.1893,93.747,0.5846,81.855,11.696,12.679,160.37,16.896,10.415,108.93,80.639,1.3509,212.19,11.908,9.1482,31.105,2.0515,2.9937,0,0
"g0-007",0,0,0.033056,0.023312,0.24297,1.9274,1.2827,0.18671,8.8381,725.54,0.80677,1.443,0.03812,58.611,"volume",1500,53.972,5.1837,96.044,0.5851,83.849,14.635,15.69,164.16,19.83,13.423,113.14,85.725,1.3198,205.65,11.426,9.9024,33.09,2.058,3.6307,0,0
