"id","converged","LV_EDV","LV_ESV","LV_EF","LV_EaEes","SBP","DBP","LAP","CO","RV_EDV","RV_ESV","RV_EesEa","RV_svEsv","mPAP","RAP","PVR_WU"
"normal",TRUE,141.554090040667,59.9471052641306,0.57650743085623,0.617874228890629,119.387027534422,72.7596734339425,6.83309344925768,5.71248893435754,135.162155191077,53.5349086312459,2.04474499781737,1.52474803164582,13.50003235357,4.01149057167104,1.16708128119326
"hfpef",TRUE,119.444952969044,46.352795447342,0.611931736794647,0.502394585216025,172.269419624442,96.7395916817835,15.5585717441322,5.11645102651915,145.893141253348,72.7691931364265,1.23624127163606,1.00487507096347,21.5307373882235,4.85513340577885,1.16724769046688
"hfref",TRUE,230.478034031892,177.887830200239,0.22817881128045,2.64809852150011,112.049560600749,78.7506929799398,10.5909297356654,4.47016732569044,109.055342744776,56.4388341908698,1.23830128444078,0.932274900930141,15.8072681922984,2.75262835069089,1.16692241622686
"vasoplegia",TRUE,111.696657268783,37.8682826116786,0.660972104827151,0.384123721548093,77.537137333686,42.1156464557985,5.61469061413622,8.12112121228148,127.323393024286,53.4851164769928,1.84949416697434,1.38053876313526,15.0894631153333,5.29602420295405,1.16668280814089
"septicCM",TRUE,148.595691556134,92.2416785971856,0.379243922679008,1.48249813286754,84.9147629321766,58.0510989141335,9.64117882369137,6.19894142548428,114.059137997379,57.6792468893751,1.2852913178081,0.977472733236913,16.8752436412862,4.05513451341108,1.16698389629156
"highAfterload",TRUE,153.533691204394,84.2062885366047,0.451545208898132,1.07760493320304,173.432014451618,110.154519436863,8.852621407265,4.85291818674527,124.726103212586,55.3779849179421,1.66648496099561,1.25226872009523,14.5165881341243,3.27125900098361,1.16712594544233
"pahComp",TRUE,130.525996440367,56.8019521226476,0.564822689182852,0.640710538579417,111.627747408863,69.3627818342199,5.30790842393441,5.16068310224037,149.483640936783,75.7773681419142,1.1885662866455,0.972668681984755,44.8683210825772,7.23742385785309,7.66573181784186
"pahDecomp",TRUE,89.780264255764,47.2070823553319,0.474193100826153,0.881778717343603,88.2477613421687,63.9544500129668,2.71208563130159,4.04445228054105,218.22337627933,175.665318530644,0.322465560001459,0.242267842649097,54.2606010689777,10.6737088705459,12.74548736443
"acutePE",TRUE,101.276643770174,45.7749372351927,0.548020792048865,0.650487801874365,85.2595357442699,53.3175682364344,2.76588343508206,3.88511945744872,161.402930554637,105.916213631476,0.599630527454611,0.523873682987018,28.6611309145168,6.57757972247255,6.66523842137909
"cpcph",TRUE,119.408802077834,47.44638916196,0.602655848343299,0.525432811511732,176.782062986213,102.323511292712,15.581585368142,5.0373689041112,189.456568012386,117.451334885409,0.694489170569088,0.613064408311996,35.072959538179,11.8354849284028,3.86935611448454
